CategoryID,Category Path
147285,"Abbigliamento e accessori > Neonati > Scarpe"
112426,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori per danza > Bambino: abbigliamento"
153003,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori per danza > Bambino: scarpe"
150661,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori per danza > Donna: abbigliamento"
108911,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori per danza > Donna: scarpe"
112427,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori per danza > Uomo: abbigliamento"
153002,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori per danza > Uomo: scarpe"
175819,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Accessori capelli"
163627,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Accessori scarpe"
957,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Altro accessori vintage"
163606,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Appendiabiti"
182060,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Bastoni da passeggio"
74962,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Borse, borsette e custodie"
182062,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Bretelle"
182028,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Cappelli bambini"
74969,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Cappelli donna"
163619,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Cappelli uomo"
14062,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Cappelliere"
163601,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Cinture"
163607,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Colletti"
14070,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Cravatte e papillon"
163608,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Fazzoletti"
163600,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Fibbie per cinture"
175806,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Guanti"
175805,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Occhiali"
48559,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Occhiali da sole"
182063,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Ombrelli e parasole"
175769,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Portafogli e borselli"
175807,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Sciarpe, foulard e scialli"
